date,home_team,away_team,home_score,away_score,winner,winner_code,home_neutral,home_ppg_last_5,home_avg_goals_scored_last_5,home_avg_goals_conceded_last_5,home_clean_sheets_rate_last_5,home_avg_goal_difference_last_5,home_avg_goal_difference_last_10,home_failed_score_rate_last_5,home_over_2_5_rate_last_5,home_over_3_5_rate_last_5,home_under_1_5_rate_last_5,home_days_since_last_game,home_pi_home_rating,home_pi_away_rating,home_pi_expected_gd,home_pi_diff,away_ppg_last_5,away_avg_goals_scored_last_5,away_avg_goals_conceded_last_5,away_clean_sheets_rate_last_5,away_avg_goal_difference_last_5,away_avg_goal_difference_last_10,away_failed_score_rate_last_5,away_over_2_5_rate_last_5,away_over_3_5_rate_last_5,away_under_1_5_rate_last_5,away_days_since_last_game,away_pi_home_rating,away_pi_away_rating,away_pi_expected_gd,away_pi_diff,pi_rating_diff,diff_ppg_last_5,diff_goal_difference,diff_btts_rate,diff_avg_goals_scored_last_5,diff_avg_goals_conceded_last_5,diff_over_2_5_rate,diff_under_1_5_rate,diff_rests_days
1884-02-09,Northern Ireland,Wales,0.0,6.0,Wales,2,False,0.8,0.4,6.6,0.0,-4.8,-6.166666666666667,0.6,0.0,0.0,1.0,14.0,-4.444558211177139,-7.4748729964455745,-4.468106113682692,-6.971594997067133,1.2,1.2,3.4,0.0,-1.4,-0.6,0.6,0.2,0.2,0.8,329.0,-0.5032779993784411,-5.782329262877449,4.468106113682692,6.971594997067133,1.3377710517003107,-0.3999999999999999,-3.4,0.0,-0.7999999999999999,3.1999999999999997,-0.2,0.19999999999999996,-315.0
1884-02-23,England,Northern Ireland,8.0,1.0,England,1,False,1.8,3.6,2.6,0.4,3.2,2.0,0.0,0.6,0.4,0.2,350.0,4.125712092752855,0.5403010158594268,2.129787463512041,5.307615627116752,0.8,0.4,5.2,0.0,-5.0,-6.285714285714286,0.6,0.0,0.0,1.0,14.0,-4.767314611257325,-9.088654996846504,-2.129787463512041,-5.307615627116752,13.21436708959936,1.0,8.2,0.19999999999999996,3.2,-2.6,0.6,-0.8,336.0
1884-03-15,England,Scotland,0.0,1.0,Scotland,2,False,2.2,5.0,1.8,0.4,3.4,1.8,0.0,0.8,0.6,0.0,21.0,4.7406351532062025,3.6149163181261623,-3.2562922204617624,-3.8319568658340346,3.0,4.2,0.6,0.6,3.0,3.3,0.0,1.0,0.6,0.0,49.0,7.446873183960197,6.09215217730612,3.2562922204617624,3.8319568658340346,-1.351517024099917,-0.7999999999999998,0.3999999999999999,0.19999999999999996,0.7999999999999998,1.2000000000000002,-0.19999999999999996,0.0,-28.0
1884-03-17,England,Wales,4.0,0.0,England,1,False,2.2,4.4,1.0,0.4,3.2,2.3,0.2,0.6,0.6,0.2,2.0,5.150813850533599,5.665809804763143,2.394848573974322,4.555305803740653,1.2,1.4,2.8,0.2,-1.2,-0.6,0.6,0.2,0.2,0.8,37.0,1.1105040010224894,-5.459572862797264,-2.394848573974322,-4.555305803740653,10.610386713330865,1.0000000000000002,4.4,0.2,3.0000000000000004,-1.7999999999999998,0.39999999999999997,-0.6000000000000001,-35.0
1884-03-29,Scotland,Wales,4.0,1.0,Scotland,1,False,3.0,3.4,0.4,0.8,2.6,3.5,0.0,0.8,0.4,0.2,14.0,5.3959796973232175,5.681973479978724,5.259266333687924,11.188218937722525,1.2,1.4,2.6,0.2,-0.8,-1.0,0.6,0.2,0.2,0.8,12.0,-0.5528278869877223,-5.792239240399306,-5.259266333687924,-11.188218937722525,11.188218937722525,1.8,3.4000000000000004,0.0,2.0,-2.2,0.6000000000000001,-0.6000000000000001,2.0
1885-02-28,England,Northern Ireland,4.0,0.0,England,1,False,2.2,4.2,1.0,0.4,2.6,3.2,0.2,0.6,0.6,0.2,348.0,5.483480228135641,7.329141692773354,10.874898127495156,15.18705828543549,0.8,0.4,5.4,0.0,-4.4,-6.0,0.6,0.0,0.0,1.0,371.0,-7.84192991352406,-9.70357805729985,-10.874898127495156,-15.18705828543549,15.18705828543549,1.4000000000000001,7.0,0.0,3.8000000000000003,-4.4,0.6,-0.8,-23.0
1885-03-14,England,Wales,1.0,1.0,DRAW,0,False,2.2,3.6,1.0,0.4,2.8,1.9,0.2,0.6,0.6,0.2,14.0,1.8985004509000756,6.612145737326241,1.9140707969005224,5.638260288684023,1.2,1.6,2.4,0.2,-0.2,-0.6,0.4,0.2,0.2,0.8,350.0,-0.1423320064646506,-3.739759837783948,-1.9140707969005224,-5.638260288684023,5.638260288684023,1.0000000000000002,3.0,0.0,2.0,-1.4,0.39999999999999997,-0.6000000000000001,-336.0
1885-03-14,Northern Ireland,Scotland,2.0,8.0,Scotland,2,False,0.8,0.4,4.8,0.0,-5.6,-6.0,0.6,0.0,0.0,1.0,14.0,-7.124933958076947,-6.118598280064285,-4.250770082288687,-9.462098574772144,3.0,3.2,0.6,0.6,3.6,3.7,0.0,0.8,0.4,0.2,350.0,3.343500294707859,5.271477599455652,4.250770082288687,9.462098574772144,-12.396411557532598,-2.2,-9.2,0.0,-2.8000000000000003,4.2,-0.8,0.8,-336.0
1885-03-21,England,Scotland,1.0,1.0,DRAW,0,False,2.0,3.4,0.6,0.4,1.4,2.3,0.2,0.6,0.6,0.4,7.0,0.0405000561817103,6.240545658382568,-2.6405618191739464,-5.582346392352906,3.0,4.2,0.6,0.6,3.0,3.2,0.0,0.8,0.6,0.2,7.0,5.100344540102679,5.622846448534617,2.6405618191739464,5.582346392352906,-5.582346392352906,-1.0,-1.6,0.0,-0.8000000000000003,0.0,-0.20000000000000007,0.2,0.0
1885-03-23,Scotland,Wales,8.0,1.0,Scotland,1,False,2.4,3.8,0.8,0.4,3.4,3.5,0.0,0.6,0.6,0.4,2.0,4.651409812053941,3.378172808290926,1.1225845321244177,3.148904735811904,1.0,1.8,2.0,0.2,-1.6,-1.9,0.2,0.2,0.2,0.8,9.0,0.2292680724790223,-1.8817594430655828,-1.1225845321244177,-3.148904735811904,6.533169255119524,1.4,5.0,0.0,1.9999999999999998,-1.2,0.39999999999999997,-0.4,-7.0
1885-04-11,Northern Ireland,Wales,2.0,8.0,Wales,2,False,1.0,0.6,6.2,0.0,-5.8,-6.0,0.6,0.0,0.0,0.8,28.0,-7.476302807155911,-7.875442525459104,-3.793237711869869,-4.924603155236972,1.2,1.8,3.4,0.2,-1.6,-1.5,0.2,0.2,0.2,0.8,19.0,-3.120432971787756,-2.5516996519189385,3.793237711869869,4.924603155236972,-4.924603155236972,-0.19999999999999996,-4.199999999999999,-0.19999999999999996,-1.2000000000000002,2.8000000000000003,-0.2,0.0,9.0
1885-11-28,Canada,United States,1.0,0.0,Canada,1,False,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,,,,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,,0.0,0.0,0.0
1886-02-27,Northern Ireland,Wales,0.0,5.0,Wales,2,False,1.0,1.0,6.8,0.0,-5.6,-5.2,0.4,0.0,0.0,0.6,322.0,-9.50056987757792,-8.280295939543507,-4.861446116630313,-5.564716381840153,1.2,2.2,3.8,0.0,0.2,-0.5,0.2,0.2,0.2,0.8,322.0,-2.715579557703354,-0.5274325814969294,4.861446116630313,5.564716381840153,-8.97313729608099,-0.19999999999999996,-5.8,-0.20000000000000007,-1.2000000000000002,3.0,-0.2,-0.20000000000000007,0.0
1886-03-13,England,Northern Ireland,6.0,1.0,England,1,False,1.4,2.0,0.6,0.4,2.6,3.0,0.2,0.4,0.4,0.6,357.0,2.285173696425401,6.689480386431306,11.672726739842602,16.235133135147223,1.0,1.0,6.6,0.0,-5.2,-5.1,0.4,0.0,0.0,0.6,14.0,-9.545652748715918,-8.5057102952335,-11.672726739842602,-16.235133135147223,10.790883991658902,0.3999999999999999,7.800000000000001,-0.19999999999999996,1.0,-6.0,0.4,0.0,343.0
1886-03-20,Northern Ireland,Scotland,2.0,7.0,Scotland,2,False,1.0,1.0,6.2,0.0,-5.4,-4.9,0.4,0.0,0.0,0.6,7.0,-6.005853823496325,-7.797750510189582,-6.693909475977858,-12.73372767605403,2.4,4.4,1.0,0.2,4.2,3.6,0.0,0.6,0.6,0.4,362.0,5.321350020907296,6.727873852557705,6.693909475977858,12.73372767605403,-12.73372767605403,-1.4,-9.600000000000001,-0.20000000000000007,-3.4000000000000004,5.2,-0.6,0.19999999999999996,-355.0
1886-03-27,England,Scotland,1.0,1.0,DRAW,0,False,1.8,3.2,0.6,0.4,1.8,2.5,0.0,0.6,0.6,0.4,14.0,1.5772139113814825,3.149681461211713,-1.0803775997609253,-1.8273621613429007,2.4,5.6,1.4,0.0,3.6,3.1,0.0,0.8,0.8,0.2,7.0,4.977043622554613,5.00634186079429,1.0803775997609253,1.8273621613429007,-3.4291279494128073,-0.5999999999999999,-1.8,-0.4,-2.3999999999999995,-0.7999999999999999,-0.20000000000000007,0.2,7.0
1886-03-29,England,Wales,3.0,1.0,England,1,False,1.2,2.6,0.8,0.2,1.4,2.0,0.0,0.4,0.4,0.6,2.0,1.8317276465090564,4.422250136849582,2.5426325765944835,6.912415338862942,1.6,3.2,3.0,0.2,0.4,-0.2,0.0,0.4,0.4,0.6,30.0,-2.4901652020133604,-0.4823497103589306,-2.5426325765944835,-6.912415338862942,2.314077356867987,-0.40000000000000013,0.9999999999999999,0.0,-0.6000000000000001,-2.2,0.0,0.0,-28.0
1886-04-10,Scotland,Wales,4.0,1.0,Scotland,1,False,1.8,5.0,1.4,0.0,3.0,3.3,0.0,0.6,0.6,0.4,14.0,3.704474946916744,4.751828125666716,1.4260245578981514,4.036214658594526,1.6,3.2,2.8,0.2,-0.2,-0.2,0.0,0.4,0.4,0.6,12.0,-1.7371152086076194,-0.3317397116777824,-1.4260245578981514,-4.036214658594526,4.036214658594527,0.19999999999999996,3.2,0.19999999999999996,1.7999999999999998,-1.4,0.19999999999999996,-0.19999999999999996,2.0
